ranking,world_rank,university,presence_rank,impact_rank,openness_rank,excellence_rank
1.0,513.0,Indian Institute of Technology Bombay,630.0,667.0,486.0,563.0
2.0,578.0,Indian Institute of Technology Madras,2141.0,647.0,593.0,663.0
3.0,661.0,Indian Institute of Technology Kanpur,734.0,927.0,526.0,743.0
4.0,722.0,(1) Indian Institute of Technology Delhi,2371.0,1488.0,590.0,557.0
5.0,737.0,Indian Institute of Science Bangalore,47.0,2820.0,591.0,459.0
6.0,750.0,University of Delhi,1485.0,1466.0,803.0,594.0
7.0,754.0,Indian Institute of Technology Kharagpur,2473.0,1639.0,1050.0,494.0
8.0,803.0,Tata Institute of Fundamental Research,2501.0,1430.0,800.0,710.0
9.0,1022.0,Indian Institute of Technology Roorkee,4120.0,3190.0,831.0,607.0
10.0,1098.0,Anna University,5955.0,2529.0,1216.0,767.0
11.0,1136.0,Banaras Hindu University,6007.0,3195.0,679.0,775.0
12.0,1163.0,Indian Institute of Technology Guwahati,4692.0,2575.0,1604.0,830.0
13.0,1196.0,VIT University (Vellore Institute of Technology),7169.0,3468.0,797.0,760.0
14.0,1225.0,Aligarh Muslim University,295.0,3797.0,802.0,900.0
15.0,1251.0,All India Institute of Medical Sciences,3802.0,2872.0,1109.0,942.0
16.0,1254.0,Jawaharlal Nehru University,4843.0,1963.0,1072.0,1240.0
17.0,1371.0,Indian Statistical Institute Kolkata,4428.0,3081.0,681.0,1177.0
18.0,1404.0,Manipal University,3124.0,2485.0,896.0,1408.0
19.0,1476.0,National Institute of Technology Rourkela,3361.0,4417.0,801.0,1039.0
20.0,1476.0,Amity University,2793.0,2632.0,475.0,1650.0
21.0,1509.0,Birla Institute of Technology & Science Pilani,5341.0,3376.0,980.0,1261.0
22.0,1532.0,S R M University (Institute of Science & Technology),3297.0,2843.0,1160.0,1481.0
23.0,1547.0,University of Pune,1422.0,3715.0,1505.0,1275.0
24.0,1553.0,Amrita University,2321.0,2906.0,1058.0,1560.0
25.0,1590.0,University of Calcutta,7839.0,4123.0,1503.0,1085.0
26.0,1639.0,National Institute of Technology Tiruchirappalli,5133.0,4155.0,1523.0,1189.0
27.0,1657.0,International Institute of Information Technology Hyderabad,5081.0,1759.0,1209.0,2118.0
28.0,1680.0,University of Hyderabad,2867.0,5350.0,1068.0,1105.0
29.0,1720.0,Cochin University of Science & Technology,2295.0,1852.0,1289.0,2285.0
30.0,1744.0,Jamia Millia Islamia,3850.0,4400.0,892.0,1448.0
31.0,1753.0,Jawaharlal Nehru Centre for Advanced Scientific Research,6844.0,5064.0,726.0,1316.0
32.0,1795.0,Indian Institute of Technology Hyderabad,4394.0,3271.0,1577.0,1704.0
33.0,1798.0,Indian Institute of Technology Indore,8615.0,4803.0,1246.0,1298.0
34.0,1844.0,Thapar University (Thapar Institute of Engineering & Technology),6494.0,5106.0,1460.0,1285.0
35.0,1910.0,Annamalai University,6170.0,5389.0,2372.0,1221.0
36.0,1911.0,Pondicherry University,4137.0,4520.0,1445.0,1606.0
37.0,1943.0,University of Madras,9859.0,4472.0,1623.0,1545.0
38.0,1947.0,Indian Institute of Science Education and Research Pune,6170.0,5473.0,1164.0,1441.0
39.0,2043.0,Saha Institute of Nuclear Physics,8915.0,8744.0,1235.0,964.0
40.0,2058.0,University of Kalyani,10900.0,2830.0,2473.0,2112.0
41.0,2065.0,(1) Shivaji University,6072.0,6943.0,1325.0,1348.0
42.0,2065.0,Sastra University,7098.0,6533.0,1976.0,1298.0
43.0,2089.0,Bharathidasan University,488.0,6450.0,1700.0,1598.0
44.0,2091.0,Indian Agricultural Research Institute,8281.0,5489.0,1293.0,1621.0
45.0,2100.0,National Institute of Science Education and Research,7438.0,8456.0,1361.0,1096.0
46.0,2102.0,Panjab University,3213.0,3645.0,11400.0,703.0
47.0,2118.0,Indian Institute of Technology (Banaras Hindu University) Varanasi,9227.0,7097.0,1007.0,1402.0
48.0,2132.0,National Institute of Technology Calicut,6210.0,3678.0,1595.0,2168.0
49.0,2141.0,Guru Nanak Dev University,10111.0,6645.0,1384.0,1435.0
50.0,2220.0,Institute of Mathematical Sciences,4671.0,4432.0,1565.0,2107.0
51.0,2223.0,University of Mumbai,3640.0,3166.0,2521.0,2420.0
52.0,2228.0,Birla Institute of Technology Mesra Ranchi,6844.0,5972.0,960.0,1829.0
53.0,2278.0,KIIT University Kalinga Institute of Industrial Technology,9666.0,5158.0,1323.0,1966.0
54.0,2284.0,Osmania University Hyderabad,11108.0,4276.0,2216.0,2026.0
55.0,2284.0,Malaviya National Institute of Technology,8041.0,6281.0,989.0,1814.0
56.0,2324.0,Indian Institute of Science Education and Research Kolkata,5955.0,7308.0,924.0,1710.0
57.0,2344.0,Motilal Nehru National Institute of Technology,6531.0,6446.0,1934.0,1710.0
58.0,2364.0,Indian Institute of Technology Gandhinagar,4446.0,4390.0,1594.0,2383.0
59.0,2388.0,University of Allahabad,12805.0,6082.0,1930.0,1788.0
60.0,2398.0,National Institute of Technology Karnataka,5840.0,5743.0,3058.0,1829.0
61.0,2422.0,Maharaja Sayajirao University of Baroda,4967.0,5912.0,1885.0,2009.0
62.0,2425.0,Institute of Chemical Technology,16778.0,9819.0,825.0,1311.0
63.0,2436.0,University of Rajasthan Jaipur,9051.0,6028.0,3394.0,1727.0
64.0,2463.0,Indian Institute of Technology Ropar,7963.0,6438.0,1762.0,1940.0
65.0,2467.0,Karunya University,15348.0,5549.0,2516.0,1913.0
66.0,2468.0,Indian Institute of Technology (Indian School of Mines) Dhanbad,12203.0,10289.0,2288.0,1091.0
67.0,2485.0,Indian Institute of Technology Bhubaneswar,7395.0,6856.0,1875.0,1870.0
68.0,2505.0,Delhi Technological University,6723.0,7315.0,2336.0,1748.0
69.0,2506.0,University of Burdwan,10313.0,7119.0,1683.0,1844.0
70.0,2508.0,Tamil Nadu Agricultural University,3116.0,3596.0,2084.0,2871.0
71.0,2513.0,Visvesvaraya National Institute of Technology,7169.0,5571.0,2621.0,2093.0
72.0,2513.0,National Institute of Technology Durgapur (Regional Engineering College),12007.0,7274.0,2633.0,1662.0
73.0,2515.0,Jadavpur University,7971.0,5739.0,11400.0,697.0
74.0,2561.0,National Institute of Technology Warangal,11301.0,6584.0,1391.0,2098.0
75.0,2569.0,Indian Institute of Engineering Science and Technology Shibpur (Bengal Engineering and Science University),6405.0,9582.0,1788.0,1484.0
76.0,2573.0,(1) Indian Institute of Science Education and Research Bhopal,6093.0,8233.0,1031.0,1950.0
77.0,2582.0,Alagappa University,8705.0,7715.0,2335.0,1773.0
78.0,2599.0,Maharshi Dayanand University,5733.0,6336.0,1616.0,2260.0
79.0,2613.0,Kurukshetra University,7169.0,5342.0,1900.0,2441.0
80.0,2619.0,University of Jammu,7205.0,7470.0,3320.0,1770.0
81.0,2626.0,Sanjay Gandhi Postgraduate Institute of Medical Sciences,19223.0,7539.0,970.0,1991.0
82.0,2656.0,Guru Gobind Singh Indraprastha University,7067.0,5178.0,1207.0,2727.0
83.0,2684.0,Lucknow University,8863.0,5855.0,2687.0,2285.0
84.0,2689.0,Indian Institute of Technology Patna,8188.0,7320.0,2184.0,2059.0
85.0,2700.0,Indian School of Business Hyderabad,5432.0,2673.0,2373.0,3510.0
86.0,2743.0,National Institute of Technology Kurukshetra (Regional Engineering College),9220.0,7970.0,2168.0,1991.0
87.0,2757.0,Gauhati University,10476.0,6854.0,2843.0,2149.0
88.0,2772.0,Gandhigram Rural University,14767.0,8838.0,2234.0,1780.0
89.0,2800.0,Vidyasagar University,7521.0,8272.0,2247.0,2051.0
90.0,2813.0,University of Kerala,7668.0,6320.0,3248.0,2361.0
91.0,2816.0,Indian Institute of Science Education and Research Thiruvananthapuram,8514.0,5409.0,2036.0,2757.0
92.0,2819.0,Goa University,4114.0,6671.0,2074.0,2555.0
93.0,2830.0,Sree Chitra Tirunal Institute for Medical Sciences and Technology,8142.0,7336.0,1285.0,2494.0
94.0,2844.0,Academy of Scientific and Innovative Research,15525.0,12791.0,4519.0,923.0
95.0,2846.0,Gandhi Institute of Technology and Management,6987.0,6211.0,2761.0,2534.0
96.0,2867.0,Punjab Agricultural University Ludhiana,27603.0,6897.0,630.0,2296.0
97.0,2875.0,Bharati Vidyapeeth University,7757.0,7156.0,2480.0,2383.0
98.0,2899.0,Indian Institute of Information Technology Allahabad,7256.0,5431.0,1941.0,2934.0
99.0,2905.0,Periyar University Salem,14666.0,8022.0,2598.0,2125.0
